1,LeSean McCoy,RB,PHI,7,
2,Jamaal Charles,RB,KC,6,
3,Adrian Peterson,RB,MIN,10,
4,Matt Forte,RB,CHI,9,
5,Calvin Johnson,WR,DET,9,
6,Eddie Lacy,RB,GB,9,
7,Demaryius Thomas,WR,DEN,4,
8,Jimmy Graham,TE,NO,6,
9,Dez Bryant,WR,DAL,11,
10,A.J. Green,WR,CIN,4,
11,Peyton Manning,QB,DEN,4,
12,DeMarco Murray,RB,DAL,11,
13,Brandon Marshall,WR,CHI,9,
14,Montee Ball,RB,DEN,4,
15,Julio Jones,WR,ATL,9,
16,Giovani Bernard,RB,CIN,4,
17,Marshawn Lynch,RB,SEA,4,
18,Antonio Brown,WR,PIT,12,
19,Jordy Nelson,WR,GB,9,
20,Drew Brees,QB,NO,6,
21,Alshon Jeffery,WR,CHI,9,
22,Aaron Rodgers,QB,GB,9,
23,Le'Veon Bell,RB,PIT,12,
24,Randall Cobb,WR,GB,9,
25,Andre Ellington,RB,ARI,4,
26,Arian Foster,RB,HOU,10,
27,Rob Gronkowski,TE,NE,10,
28,Doug Martin,RB,TB,7,
29,Julius Thomas,TE,DEN,4,
30,Keenan Allen,WR,SD,10,
31,Zac Stacy,RB,STL,4,
32,Alfred Morris,RB,WAS,10,
33,Pierre Garcon,WR,WAS,10,
34,Reggie Bush,RB,DET,9,
35,Vincent Jackson,WR,TB,7,
36,Shane Vereen,RB,NE,10,
37,Roddy White,WR,ATL,9,
38,Victor Cruz,WR,NYG,8,
39,Andre Johnson,WR,HOU,10,
40,C.J. Spiller,RB,BUF,9,
41,Rashad Jennings,RB,NYG,8,
42,Wes Welker,WR,DEN,4,
43,Toby Gerhart,RB,JAC,11,
44,Larry Fitzgerald,WR,ARI,4,
45,Cordarrelle Patterson,WR,MIN,10,
46,Michael Crabtree,WR,SF,8,
47,Michael Floyd,WR,ARI,4,
48,Matthew Stafford,QB,DET,9,
49,Percy Harvin,WR,SEA,4,
50,Ryan Mathews,RB,SD,10,
51,Joique Bell,RB,DET,9,
52,Ray Rice,RB,BAL,11,
53,Bishop Sankey,RB,TEN,9,
54,Ty Hilton,WR,IND,10,
55,Jordan Cameron,TE,CLE,4,
56,Julian Edelman,WR,NE,10,
57,Frank Gore,RB,SF,8,
58,Andrew Luck,QB,IND,10,
59,DeSean Jackson,WR,WAS,10,
60,Chris Johnson,RB,NYJ,11,
61,Torrey Smith,WR,BAL,11,
62,Kendall Wright,WR,TEN,9,
63,Jeremy Maclin,WR,PHI,7,
64,Trent Richardson,RB,IND,10,
65,Pierre Thomas,RB,NO,6,
66,Ben Tate,RB,CLE,4,
67,Vernon Davis,TE,SF,8,
