1,David Johnson,RB,ARI,8
2,LeVeon Bell,RB,PIT,9
3,Antonio Brown,WR,PIT,9
4,Odell Beckham Jr,WR,NYG,8
5,Mike Evans,WR,TB,11
6,LeSean McCoy,RB,BUF,6
7,Julio Jones,WR,ATL,5
8,Melvin Gordon,RB,LAC,9
9,A.J. Green,WR,CIN,6
10,Devonta Freeman,RB,ATL,5
11,Ezekiel Elliott,RB,DAL,6
12,Jordy Nelson,WR,GB,8
13,Michael Thomas,WR,NO,5
14,Jay Ajayi,RB,MIA,11
15,DeMarco Murray,RB,TEN,8
16,Brandin Cooks,WR,NE,9
17,Jordan Howard,RB,CHI,9
18,Dez Bryant,WR,DAL,6
19,Rob Gronkowski,TE,NE,9
20,Todd Gurley,RB,LAR,8
21,Amari Cooper,WR,OAK,10
22,Kareem Hunt,RB,KC,10
23,Doug Baldwin,WR,SEA,6
24,Aaron Rodgers,QB,GB,8
25,Christian McCaffrey,RB,CAR,11
26,Keenan Allen,WR,LAC,9
27,Dalvin Cook,RB,MIN,9
28,Leonard Fournette,RB,JAC,8
29,Tom Brady,QB,NE,9
30,T.Y. Hilton,WR,IND,11
31,Isaiah Crowell,RB,CLE,9
32,DeAndre Hopkins,WR,HOU,7
33,Terrelle Pryor,WR,WAS,5
34,Demaryius Thomas,WR,DEN,5
35,Ty Montgomery,RB,GB,8
36,Lamar Miller,RB,HOU,7
37,Marshawn Lynch,RB,OAK,10
38,Carlos Hyde,RB,SF,11
39,Travis Kelce,TE,KC,10
40,Alshon Jeffery,WR,PHI,10
41,Kelvin Benjamin,WR,CAR,11
42,Michael Crabtree,WR,OAK,10
43,Drew Brees,QB,NO,5
44,Davante Adams,WR,GB,8
45,Joe Mixon,RB,CIN,6
46,Tyreek Hill,WR,KC,10
47,Martavis Bryant,WR,PIT,9
48,Golden Tate,WR,DET,7
49,Doug Martin,RB,TB,11
50,Larry Fitzgerald,WR,ARI,8
51,Bilal Powell,RB,NYJ,11
52,Greg Olsen,TE,CAR,11
53,CJ Anderson,RB,DEN,5
54,Jordan Reed,TE,WAS,5
55,Matt Ryan,QB,ATL,5
56,DeVante Parker,WR,MIA,11
57,Ameer Abdullah,RB,DET,7
58,Stefon Diggs,WR,MIN,9
59,Jimmy Graham,TE,SEA,6
60,Allen Robinson,WR,JAC,8
61,Mark Ingram,RB,NO,5
62,Russell Wilson,QB,SEA,6
63,Danny Woodhead,RB,BAL,10
64,Jamison Crowder,WR,WAS,5
65,Mike Gillislee,RB,NE,9
66,Jarvis Landry,WR,MIA,11
67,Derek Carr,QB,OAK,10
68,Brandon Marshall,WR,NYG,8
69,Adrian Peterson,RB,NO,5
70,Tyler Eifert,TE,CIN,6
71,Darren McFadden,RB,DAL,6
72,Pierre Garcon,WR,SF,11
73,Rob Kelley,RB,WAS,5
74,Marcus Mariota,QB,TEN,8
75,Tevin Coleman,RB,ATL,5
76,Willie Snead,WR,NO,5
77,Zach Ertz,TE,PHI,10
78,Sammy Watkins,WR,LAR,8
79,Derrick Henry,RB,TEN,8
80,Emmanuel Sanders,WR,DEN,5
81,Chris Hogan,WR,NE,9
82,Jameis Winston,QB,TB,11
83,Delanie Walker,TE,TEN,8
84,Theo Riddick,RB,DET,7
85,Jeremy Maclin,WR,BAL,10
86,Kyle Rudolph,TE,MIN,9
87,LeGarrette Blount,RB,PHI,10
88,Frank Gore,RB,IND,11
89,Paul Perkins,RB,NYG,8
90,Kirk Cousins,QB,WAS,5
91,Eric Decker,WR,TEN,8
92,Cam Newton,QB,CAR,11
93,Terrance West,RB,BAL,10
94,DeSean Jackson,WR,TB,11
95,Martellus Bennett,TE,GB,8
96,Randall Cobb,WR,GB,8
97,Tyrell Williams,WR,LAC,9
98,Corey Coleman,WR,CLE,9
99,Ben Roethlisberger,QB,PIT,9
100,Duke Johnson,RB,CLE,9
101,Andrew Luck,QB,IND,11
102,Denver Defense,DST,DEN,5
103,Thomas Rawls,RB,SEA,6
104,Adam Thielen,WR,MIN,9
105,Marvin Jones,WR,DET,7
106,Jacquizz Rodgers,RB,TB,11
107,Philip Rivers,QB,LAC,9
108,Seattle Defense,DST,SEA,6
109,Donte Moncrief,WR,IND,11
110,Dak Prescott,QB,DAL,6
111,John Brown,WR,ARI,8
112,Jonathan Stewart,RB,CAR,11
113,Corey Davis,WR,TEN,8
114,Houston Defense,DST,HOU,7
115,Hunter Henry,TE,LAC,9
116,Eddie Lacy,RB,SEA,6
117,James White,RB,NE,9
118,Kansas City Defense,DST,KC,10
119,Matthew Stafford,QB,DET,7
120,Cooper Kupp,WR,LAR,8
121,Rishard Matthews,WR,TEN,8
122,Jordan Matthews,WR,BUF,6
123,Rex Burkhead,RB,NE,9
124,Jamaal Williams,RB,GB,8
125,New England Defense,DST,NE,9
126,Justin Tucker,K,BAL,10
127,Darren Sproles,RB,PHI,10
128,Arizona Defense,DST,ARI,8
129,Jason Witten,TE,DAL,6
130,Eric Ebron,TE,DET,7
131,Zay Jones,WR,BUF,6
132,Mike Wallace,WR,BAL,10
133,Andy Dalton,QB,CIN,6
134,Jack Doyle,TE,IND,11
135,Stephen Gostkowski,K,NE,9
136,Austin Hooper,TE,ATL,5
137,Samaje Perine,RB,WAS,5
138,Ted Ginn Jr,WR,NO,5
139,Wendell Smallwood,RB,PHI,10
140,Kenny Britt,WR,CLE,9
141,Minnesota Defense,DST,MIN,9
142,Jamaal Charles,RB,DEN,5
143,Kevin White,WR,CHI,9
144,Danny Amendola,WR,NE,9
145,CJ Prosise,RB,SEA,6
146,Carson Wentz,QB,PHI,10
147,Jeremy Hill,RB,CIN,6
148,Matt Forte,RB,NYJ,11
149,Eli Manning,QB,NYG,8
150,Cole Beasley,WR,DAL,6
151,Matt Bryant,K,ATL,5
152,Marlon Mack,RB,IND,11
153,Alvin Kamara,RB,NO,5
154,NY Giants Defense,DST,NYG,8
155,Robby Anderson,WR,NYJ,11
156,Carson Palmer,QB,ARI,8
157,Dan Bailey,K,DAL,6
158,Pittsburgh Defense,DST,PIT,9
159,Kenny Golladay,WR,DET,7
160,Philadelphia Defense,DST,PHI,10
161,Carolina Defense,DST,CAR,11
162,Wil Lutz,K,NO,5
163,Mason Crosby,K,GB,8
164,Sebastian Janikowski,K,OAK,10
165,Brandon McManus,K,DEN,5
166,Adam Vinatieri,K,IND,11
167,Blair Walsh,K,SEA,6
168,Matt Prater,K,DET,7
169,Cairo Santos,K,KC,10
