1,LeSean McCoy,RB,PHI,7,
2,Adrian Peterson,RB,MIN,10,
3,Jamaal Charles,RB,KC,6,
4,Matt Forte,RB,CHI,9,
5,Calvin Johnson,WR,DET,9,
6,Eddie Lacy,RB,GB,9,
7,Peyton Manning,QB,DEN,4,
8,Jimmy Graham,TE,NO,6,
9,Marshawn Lynch,RB,SEA,4,
10,Demaryius Thomas,WR,DEN,4,
11,Dez Bryant,WR,DAL,11,
12,DeMarco Murray,RB,DAL,11,
13,Drew Brees,QB,NO,6,
14,A.J. Green,WR,CIN,4,
15,Aaron Rodgers,QB,GB,9,
16,Montee Ball,RB,DEN,4,
17,Arian Foster,RB,HOU,10,
18,Brandon Marshall,WR,CHI,9,
19,Le'Veon Bell,RB,PIT,12,
20,Julio Jones,WR,ATL,9,
21,Giovani Bernard,RB,CIN,4,
22,Jordy Nelson,WR,GB,9,
23,Alfred Morris,RB,WAS,10,
24,Doug Martin,RB,TB,7,
25,Alshon Jeffery,WR,CHI,9,
26,Antonio Brown,WR,PIT,12,
27,Zac Stacy,RB,STL,4,
28,Randall Cobb,WR,GB,9,
29,Julius Thomas,TE,DEN,4,
30,Andre Ellington,RB,ARI,4,
31,Rob Gronkowski,TE,NE,10,
32,Vincent Jackson,WR,TB,7,
33,Reggie Bush,RB,DET,9,
34,Larry Fitzgerald,WR,ARI,4,
35,Keenan Allen,WR,SD,10,
36,Andre Johnson,WR,HOU,10,
37,Matthew Stafford,QB,DET,9,
38,C.J. Spiller,RB,BUF,9,
39,Ryan Mathews,RB,SD,10,
40,Pierre Garcon,WR,WAS,10,
41,Victor Cruz,WR,NYG,8,
42,Wes Welker,WR,DEN,4,
43,Andrew Luck,QB,IND,10,
44,Toby Gerhart,RB,JAC,11,
45,Roddy White,WR,ATL,9,
46,Michael Crabtree,WR,SF,8,
47,Vernon Davis,TE,SF,8,
48,Frank Gore,RB,SF,8,
49,Rashad Jennings,RB,NYG,8,
50,DeSean Jackson,WR,WAS,10,
51,Cordarrelle Patterson,WR,MIN,10,
52,Percy Harvin,WR,SEA,4,
53,Tom Brady,QB,NE,10,
54,Bishop Sankey,RB,TEN,9,
55,Cam Newton,QB,CAR,12,
56,Jason Witten,TE,DAL,11,
57,Nick Foles,QB,PHI,7,
58,Michael Floyd,WR,ARI,4,
59,Jordan Cameron,TE,CLE,4,
60,Seattle Seahawks,DST,SEA,4,
61,Robert Griffin III,QB,WAS,10,
62,Chris Johnson,RB,NYJ,11,
63,Ty Hilton,WR,IND,10,
64,Ben Tate,RB,CLE,4,
65,Shane Vereen,RB,NE,10,
66,Torrey Smith,WR,BAL,11,
67,Ray Rice,RB,BAL,11,
68,Matt Ryan,QB,ATL,9,
69,Joique Bell,RB,DET,9,
70,Trent Richardson,RB,IND,10,
71,Julian Edelman,WR,NE,10,
72,Jeremy Maclin,WR,PHI,7,
73,Greg Olsen,TE,CAR,12,
74,Colin Kaepernick,QB,SF,8,
75,Marques Colston,WR,NO,6,
76,Mike Wallace,WR,MIA,5,
77,Dennis Pitta,TE,BAL,11,
78,Emmanuel Sanders,WR,DEN,4,
79,San Francisco 49ers,DST,SF,8,
80,Jordan Reed,TE,WAS,10,
81,Stevan Ridley,RB,NE,10,
82,Golden Tate,WR,DET,9,
83,Carolina Panthers,DST,CAR,12,
84,Kendall Wright,WR,TEN,9,
85,Tony Romo,QB,DAL,11,
86,Kyle Rudolph,TE,MIN,10,
87,Steven Jackson,RB,ATL,9,
88,Reggie Wayne,WR,IND,10,
89,Maurice Jones-Drew,RB,OAK,5,
90,Terrance Williams,WR,DAL,11,
91,Lamar Miller,RB,MIA,5,
92,Pierre Thomas,RB,NO,6,
