ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.01,1.3,David Johnson,RB,ARI,937,8
1.02,2.2,LeVeon Bell,RB,PIT,1086,9
1.04,3.7,Antonio Brown,WR,PIT,715,9
1.05,4.7,Julio Jones,WR,ATL,719,5
1.05,5.1,LeSean McCoy,RB,BUF,747,6
1.07,6.8,Odell Beckham Jr,WR,NYG,903,8
1.07,7.3,Devonta Freeman,RB,ATL,890,5
1.08,8.0,Melvin Gordon,RB,LAC,920,9
1.08,8.1,Mike Evans,WR,TB,1022,11
1.10,10.3,A.J. Green,WR,CIN,918,6
1.11,11.3,Jordy Nelson,WR,GB,853,8
1.12,12.0,DeMarco Murray,RB,TEN,908,8
2.01,13.1,Jordan Howard,RB,CHI,862,9
2.02,14.0,Jay Ajayi,RB,MIA,932,11
2.03,15.3,Michael Thomas,WR,NO,949,5
2.03,15.5,Ezekiel Elliott,RB,DAL,853,6
2.05,17.0,Todd Gurley,RB,LAR,967,8
2.06,17.8,Dez Bryant,WR,DAL,914,6
2.08,19.7,Leonard Fournette,RB,JAC,712,8
2.08,20.0,Rob Gronkowski,TE,NE,800,9
2.09,20.8,Aaron Rodgers,QB,GB,686,8
2.09,21.3,Amari Cooper,WR,OAK,924,10
2.11,22.6,Marshawn Lynch,RB,OAK,730,10
3.01,24.8,Brandin Cooks,WR,NE,849,9
3.01,25.0,Isaiah Crowell,RB,CLE,855,9
3.01,25.0,T.Y. Hilton,WR,IND,737,11
3.01,25.5,Doug Baldwin,WR,SEA,962,6
3.02,26.2,Christian McCaffrey,RB,CAR,1024,11
3.04,28.4,Dalvin Cook,RB,MIN,1030,9
3.05,28.8,Lamar Miller,RB,HOU,855,7
3.05,29.2,Tom Brady,QB,NE,809,9
3.07,30.9,Terrelle Pryor,WR,WAS,875,5
3.09,32.9,DeAndre Hopkins,WR,HOU,841,7
3.10,33.9,Carlos Hyde,RB,SF,805,11
3.11,35.3,Demaryius Thomas,WR,DEN,799,5
3.12,35.9,Keenan Allen,WR,LAC,784,9
3.12,36.0,Joe Mixon,RB,CIN,772,6
4.02,37.8,Ty Montgomery,RB,GB,755,8
4.02,38.5,Tyreek Hill,WR,KC,756,10
4.03,39.3,Travis Kelce,TE,KC,688,10
4.05,40.8,Alshon Jeffery,WR,PHI,734,10
4.06,42.1,Drew Brees,QB,NO,644,5
4.06,42.3,Martavis Bryant,WR,PIT,879,9
4.06,42.3,Davante Adams,WR,GB,798,8
4.07,42.9,Spencer Ware,RB,KC,723,10
4.09,44.8,CJ Anderson,RB,DEN,902,5
4.09,45.1,Michael Crabtree,WR,OAK,849,10
4.11,46.7,Kelvin Benjamin,WR,CAR,898,11
4.11,47.1,Doug Martin,RB,TB,970,11
5.01,49.4,Allen Robinson,WR,JAC,732,8
5.02,50.4,Adrian Peterson,RB,NO,584,5
5.03,51.2,Greg Olsen,TE,CAR,547,11
5.05,53.5,Mike Gillislee,RB,NE,510,9
5.06,53.6,Ameer Abdullah,RB,DET,812,7
5.07,54.6,Brandon Marshall,WR,NYG,529,8
5.07,55.2,Jordan Reed,TE,WAS,558,5
5.07,55.2,Mark Ingram,RB,NO,802,5
5.08,55.5,Matt Ryan,QB,ATL,444,5
5.10,57.6,Sammy Watkins,WR,LAR,673,8
5.10,58.4,LeGarrette Blount,RB,PHI,563,10
5.10,58.4,Golden Tate,WR,DET,809,7
5.11,58.7,Jimmy Graham,TE,SEA,645,6
6.01,60.5,Larry Fitzgerald,WR,ARI,817,8
6.02,62.5,Bilal Powell,RB,NYJ,832,11
6.04,64.4,Derrick Henry,RB,TEN,716,8
6.05,65.0,Jarvis Landry,WR,MIA,647,11
6.06,66.1,Stefon Diggs,WR,MIN,880,9
6.07,67.3,Julian Edelman,WR,NE,697,9
6.08,68.3,Paul Perkins,RB,NYG,474,8
6.09,69.0,Derek Carr,QB,OAK,384,10
6.09,69.1,Jamison Crowder,WR,WAS,750,5
6.09,69.4,Tyler Eifert,TE,CIN,491,6
6.11,71.2,Russell Wilson,QB,SEA,464,6
6.12,71.9,Willie Snead,WR,NO,684,5
7.02,73.6,Tevin Coleman,RB,ATL,738,5
7.02,74.2,Darren McFadden,RB,DAL,925,6
7.02,74.3,Rob Kelley,RB,WAS,794,5
7.04,76.5,Martellus Bennett,TE,GB,395,8
7.06,77.8,Frank Gore,RB,IND,691,11
7.06,78.1,Emmanuel Sanders,WR,DEN,680,5
7.07,78.8,DeVante Parker,WR,MIA,977,11
7.08,80.0,Jameis Winston,QB,TB,455,11
7.10,81.9,Eddie Lacy,RB,SEA,479,6
7.10,82.0,Danny Woodhead,RB,BAL,614,10
7.10,82.0,Delanie Walker,TE,TEN,408,8
7.12,83.6,DeSean Jackson,WR,TB,586,11
8.01,85.3,Kareem Hunt,RB,KC,920,10
8.01,85.3,Terrance West,RB,BAL,712,10
8.03,86.8,Kirk Cousins,QB,WAS,566,5
8.03,87.0,Andrew Luck,QB,IND,417,11
8.04,87.9,Eric Decker,WR,TEN,577,8
8.05,88.9,Marcus Mariota,QB,TEN,722,8
8.05,89.4,Thomas Rawls,RB,SEA,636,6
8.07,90.9,Pierre Garcon,WR,SF,618,11
8.08,91.7,Kyle Rudolph,TE,MIN,461,9
8.09,93.4,Cam Newton,QB,CAR,553,11
8.10,94.0,Jeremy Maclin,WR,BAL,556,10
8.11,95.2,Jacquizz Rodgers,RB,TB,371,11
8.12,96.4,Randall Cobb,WR,GB,584,8
9.03,98.6,Tyrell Williams,WR,LAC,592,9
9.03,98.6,Jonathan Stewart,RB,CAR,354,11
9.05,100.5,Donte Moncrief,WR,IND,462,11
9.05,100.6,Jamaal Williams,RB,GB,405,8
9.06,101.6,Cameron Meredith,WR,CHI,581,9
9.07,103.2,Hunter Henry,TE,LAC,484,9
9.08,104.4,Ben Roethlisberger,QB,PIT,602,9
9.09,104.6,Denver Defense,DEF,DEN,256,5
9.09,104.6,Samaje Perine,RB,WAS,368,5
9.09,105.3,Zach Ertz,TE,PHI,568,10
9.12,108.2,Jeremy Hill,RB,CIN,392,6
10.01,108.6,Philip Rivers,QB,LAC,511,9
10.01,108.9,Corey Davis,WR,TEN,461,8
10.04,111.9,Houston Defense,DEF,HOU,248,7
10.04,112.3,Marvin Jones,WR,DET,452,7
10.05,112.9,Kansas City Defense,DEF,KC,243,10
10.05,113.1,John Brown,WR,ARI,291,8
10.06,113.7,Dak Prescott,QB,DAL,558,6
10.07,115.5,Matthew Stafford,QB,DET,482,7
10.08,116.0,Jamaal Charles,RB,DEN,287,5
10.09,117.5,Jordan Matthews,WR,BUF,345,6
10.10,117.6,Seattle Defense,DEF,SEA,275,6
10.10,117.7,Corey Coleman,WR,CLE,449,9
10.12,119.6,Latavius Murray,RB,MIN,412,9
10.12,120.4,Theo Riddick,RB,DET,451,7
11.02,121.6,Kenny Britt,WR,CLE,337,9
11.02,121.7,Matt Forte,RB,NYJ,391,11
11.02,122.2,New England Defense,DEF,NE,271,9
11.03,122.9,Duke Johnson,RB,CLE,541,9
11.04,123.6,Adam Thielen,WR,MIN,342,9
11.07,126.6,CJ Prosise,RB,SEA,373,6
11.07,126.9,Rishard Matthews,WR,TEN,288,8
11.07,127.0,Eli Manning,QB,NYG,278,8
11.07,127.3,Rex Burkhead,RB,NE,791,9
11.08,127.8,Mike Wallace,WR,BAL,251,10
11.08,128.3,Minnesota Defense,DEF,MIN,262,9
11.08,128.4,Zay Jones,WR,BUF,379,6
11.09,129.4,Andy Dalton,QB,CIN,372,6
11.11,131.2,O.J. Howard,TE,TB,380,11
11.11,131.3,Jack Doyle,TE,IND,605,11
11.12,131.7,Arizona Defense,DEF,ARI,225,8
12.01,132.6,Kenny Golladay,WR,DET,262,7
12.04,135.8,Ted Ginn Jr,WR,NO,253,5
12.04,136.0,Carson Wentz,QB,PHI,275,10
12.06,137.7,Taylor Gabriel,WR,ATL,180,5
12.07,139.2,NY Giants Defense,DEF,NYG,210,8
12.09,141.4,Joe Williams,RB,SF,295,11
12.11,142.6,Eric Ebron,TE,DET,579,7
12.11,142.9,Cooper Kupp,WR,LAR,432,8
12.11,143.2,Marlon Mack,RB,IND,614,11
12.12,144.4,Justin Tucker,PK,BAL,644,10
13.01,145.3,Tyrod Taylor,QB,BUF,159,6
13.02,145.5,James White,RB,NE,334,9
13.02,145.6,Jonathan Williams,RB,BUF,415,6
13.02,145.9,Carson Palmer,QB,ARI,261,8
13.03,147.0,Carolina Defense,DEF,CAR,221,11
13.04,148.1,Stephen Gostkowski,PK,NE,498,9
13.07,150.6,Josh Doctson,WR,WAS,213,5
13.07,150.7,Donta Foreman,RB,HOU,433,7
13.07,150.7,DeAndre Washington,RB,OAK,277,10
13.07,150.9,Shane Vereen,RB,NYG,28,8
