1,David Johnson,RB,ARI,8
2,LeVeon Bell,RB,PIT,9
3,Antonio Brown,WR,PIT,9
4,Julio Jones,WR,ATL,5
5,LeSean McCoy,RB,BUF,6
6,Odell Beckham Jr,WR,NYG,8
7,Devonta Freeman,RB,ATL,5
8,Melvin Gordon,RB,LAC,9
9,Mike Evans,WR,TB,11
10,A.J. Green,WR,CIN,6
11,Jordy Nelson,WR,GB,8
12,DeMarco Murray,RB,TEN,8
13,Jordan Howard,RB,CHI,9
14,Jay Ajayi,RB,MIA,11
15,Michael Thomas,WR,NO,5
16,Ezekiel Elliott,RB,DAL,6
17,Todd Gurley,RB,LAR,8
18,Dez Bryant,WR,DAL,6
19,Leonard Fournette,RB,JAC,8
20,Rob Gronkowski,TE,NE,9
21,Aaron Rodgers,QB,GB,8
22,Amari Cooper,WR,OAK,10
23,Marshawn Lynch,RB,OAK,10
24,Brandin Cooks,WR,NE,9
25,Isaiah Crowell,RB,CLE,9
26,T.Y. Hilton,WR,IND,11
27,Doug Baldwin,WR,SEA,6
28,Christian McCaffrey,RB,CAR,11
29,Dalvin Cook,RB,MIN,9
30,Lamar Miller,RB,HOU,7
31,Tom Brady,QB,NE,9
32,Terrelle Pryor,WR,WAS,5
33,DeAndre Hopkins,WR,HOU,7
34,Carlos Hyde,RB,SF,11
35,Demaryius Thomas,WR,DEN,5
36,Keenan Allen,WR,LAC,9
37,Joe Mixon,RB,CIN,6
38,Ty Montgomery,RB,GB,8
39,Tyreek Hill,WR,KC,10
40,Travis Kelce,TE,KC,10
41,Alshon Jeffery,WR,PHI,10
42,Drew Brees,QB,NO,5
43,Martavis Bryant,WR,PIT,9
44,Davante Adams,WR,GB,8
45,Spencer Ware,RB,KC,10
46,CJ Anderson,RB,DEN,5
47,Michael Crabtree,WR,OAK,10
48,Kelvin Benjamin,WR,CAR,11
49,Doug Martin,RB,TB,11
50,Allen Robinson,WR,JAC,8
51,Adrian Peterson,RB,NO,5
52,Greg Olsen,TE,CAR,11
53,Mike Gillislee,RB,NE,9
54,Ameer Abdullah,RB,DET,7
55,Brandon Marshall,WR,NYG,8
56,Jordan Reed,TE,WAS,5
57,Mark Ingram,RB,NO,5
58,Matt Ryan,QB,ATL,5
59,Sammy Watkins,WR,LAR,8
60,LeGarrette Blount,RB,PHI,10
61,Golden Tate,WR,DET,7
62,Jimmy Graham,TE,SEA,6
63,Larry Fitzgerald,WR,ARI,8
64,Bilal Powell,RB,NYJ,11
65,Derrick Henry,RB,TEN,8
66,Jarvis Landry,WR,MIA,11
67,Stefon Diggs,WR,MIN,9
68,Julian Edelman,WR,NE,9
69,Paul Perkins,RB,NYG,8
70,Derek Carr,QB,OAK,10
71,Jamison Crowder,WR,WAS,5
72,Tyler Eifert,TE,CIN,6
73,Russell Wilson,QB,SEA,6
74,Willie Snead,WR,NO,5
75,Tevin Coleman,RB,ATL,5
76,Darren McFadden,RB,DAL,6
77,Rob Kelley,RB,WAS,5
78,Martellus Bennett,TE,GB,8
79,Frank Gore,RB,IND,11
80,Emmanuel Sanders,WR,DEN,5
81,DeVante Parker,WR,MIA,11
82,Jameis Winston,QB,TB,11
83,Eddie Lacy,RB,SEA,6
84,Danny Woodhead,RB,BAL,10
85,Delanie Walker,TE,TEN,8
86,DeSean Jackson,WR,TB,11
87,Kareem Hunt,RB,KC,10
88,Terrance West,RB,BAL,10
89,Kirk Cousins,QB,WAS,5
90,Andrew Luck,QB,IND,11
91,Eric Decker,WR,TEN,8
92,Marcus Mariota,QB,TEN,8
93,Thomas Rawls,RB,SEA,6
94,Pierre Garcon,WR,SF,11
95,Kyle Rudolph,TE,MIN,9
96,Cam Newton,QB,CAR,11
97,Jeremy Maclin,WR,BAL,10
98,Jacquizz Rodgers,RB,TB,11
99,Randall Cobb,WR,GB,8
100,Tyrell Williams,WR,LAC,9
101,Jonathan Stewart,RB,CAR,11
102,Donte Moncrief,WR,IND,11
103,Jamaal Williams,RB,GB,8
104,Cameron Meredith,WR,CHI,9
105,Hunter Henry,TE,LAC,9
106,Ben Roethlisberger,QB,PIT,9
107,Denver Defense,DST,DEN,5
108,Samaje Perine,RB,WAS,5
109,Zach Ertz,TE,PHI,10
110,Jeremy Hill,RB,CIN,6
111,Philip Rivers,QB,LAC,9
112,Corey Davis,WR,TEN,8
113,Houston Defense,DST,HOU,7
114,Marvin Jones,WR,DET,7
115,Kansas City Defense,DST,KC,10
116,John Brown,WR,ARI,8
117,Dak Prescott,QB,DAL,6
118,Matthew Stafford,QB,DET,7
119,Jamaal Charles,RB,DEN,5
120,Jordan Matthews,WR,BUF,6
121,Seattle Defense,DST,SEA,6
122,Corey Coleman,WR,CLE,9
123,Latavius Murray,RB,MIN,9
124,Theo Riddick,RB,DET,7
125,Kenny Britt,WR,CLE,9
126,Matt Forte,RB,NYJ,11
127,New England Defense,DST,NE,9
128,Duke Johnson,RB,CLE,9
129,Adam Thielen,WR,MIN,9
130,CJ Prosise,RB,SEA,6
131,Rishard Matthews,WR,TEN,8
132,Eli Manning,QB,NYG,8
133,Rex Burkhead,RB,NE,9
134,Mike Wallace,WR,BAL,10
135,Minnesota Defense,DST,MIN,9
136,Zay Jones,WR,BUF,6
137,Andy Dalton,QB,CIN,6
138,O.J. Howard,TE,TB,11
139,Jack Doyle,TE,IND,11
140,Arizona Defense,DST,ARI,8
141,Kenny Golladay,WR,DET,7
142,Ted Ginn Jr,WR,NO,5
143,Carson Wentz,QB,PHI,10
144,Taylor Gabriel,WR,ATL,5
145,NY Giants Defense,DST,NYG,8
146,Joe Williams,RB,SF,11
147,Eric Ebron,TE,DET,7
148,Cooper Kupp,WR,LAR,8
149,Marlon Mack,RB,IND,11
150,Justin Tucker,K,BAL,10
151,Tyrod Taylor,QB,BUF,6
152,James White,RB,NE,9
153,Jonathan Williams,RB,BUF,6
154,Carson Palmer,QB,ARI,8
155,Carolina Defense,DST,CAR,11
156,Stephen Gostkowski,K,NE,9
157,Josh Doctson,WR,WAS,5
158,Donta Foreman,RB,HOU,7
159,DeAndre Washington,RB,OAK,10
160,Shane Vereen,RB,NYG,8
161,Austin Hooper,TE,ATL,5
162,Sterling Shepard,WR,NYG,8
163,Antonio Gates,TE,LAC,9
164,Jason Witten,TE,DAL,6
165,Coby Fleener,TE,NO,5
166,Jared Cook,TE,OAK,10
167,Giovani Bernard,RB,CIN,6
168,Cameron Brate,TE,TB,11
169,Alvin Kamara,RB,NO,5
170,John Ross,WR,CIN,6
171,Wendell Smallwood,RB,PHI,10
172,Darren Sproles,RB,PHI,10
173,Matt Bryant,K,ATL,5
174,Tarik Cohen,RB,CHI,9
175,Dion Lewis,RB,NE,9
176,Dan Bailey,K,DAL,6
177,Cole Beasley,WR,DAL,6
178,Julius Thomas,TE,MIA,11
179,DeAngelo Williams,RB,PIT,9
180,Alfred Morris,RB,DAL,6
181,Mohamed Sanu,WR,ATL,5
182,Jay Cutler,QB,MIA,11
183,Robby Anderson,WR,NYJ,11
184,James Conner,RB,PIT,9
185,Christopher Carson,RB,SEA,6
186,DeAngelo Henderson,RB,DEN,5
187,Tyler Lockett,WR,SEA,6
188,Philadelphia Defense,DST,PHI,10
189,Alex Smith,QB,KC,10
190,Baltimore Defense,DST,BAL,10
191,Evan Engram,TE,NYG,8
192,Chris Hogan,WR,NE,9
